NAME,total_housing_units,owner_occupied,renter_occupied,median_household_income,rent_burden_30_34,rent_burden_35_39,rent_burden_40_49,rent_burden_50_plus,rent_burden_total,education_total,no_schooling,nursery_school,total_population,white_non_hispanic,state,county,tract
Census Tract 1.01; King County; Washington,1730,159,1571,69028,58,95,223,392,1571,2633,0,0,3370,1289,53,033,000101
Census Tract 1.02; King County; Washington,2264,913,1351,87437,173,51,204,291,1351,3823,83,0,4548,3424,53,033,000102
Census Tract 2.01; King County; Washington,2456,1242,1214,83833,104,204,230,188,1214,3830,166,0,4918,2631,53,033,000201
Census Tract 2.02; King County; Washington,1519,1084,435,136597,7,8,27,136,435,3134,0,0,4406,2147,53,033,000202
Census Tract 3; King County; Washington,1222,1021,201,129375,0,0,43,35,201,2073,65,0,2819,1896,53,033,000300
Census Tract 4.02; King County; Washington,2664,1352,1312,99167,178,20,76,251,1312,4326,0,0,5420,3928,53,033,000402
Census Tract 4.03; King County; Washington,1765,698,1067,70922,82,34,83,349,1067,2954,0,0,3526,2391,53,033,000403
Census Tract 4.04; King County; Washington,2161,351,1810,46185,91,234,360,640,1810,2707,53,0,3644,1171,53,033,000404
Census Tract 5; King County; Washington,1246,1158,88,207738,0,0,25,24,88,2434,24,0,3361,2561,53,033,000500
Census Tract 6.01; King County; Washington,1754,763,991,94250,127,132,38,178,991,3225,111,0,4397,2620,53,033,000601
Census Tract 6.02; King County; Washington,1502,937,565,106983,27,42,91,112,565,2756,56,0,3663,1908,53,033,000602
Census Tract 7; King County; Washington,2544,1140,1404,107773,196,82,120,418,1404,4118,82,0,5217,3103,53,033,000700
Census Tract 8; King County; Washington,1125,924,201,140042,46,11,7,55,201,1971,7,0,2595,2020,53,033,000800
Census Tract 9; King County; Washington,884,722,162,134211,7,16,0,25,162,1676,4,0,2065,1297,53,033,000900
Census Tract 10; King County; Washington,761,522,239,146467,11,14,22,81,239,1417,11,0,2009,1347,53,033,001000
Census Tract 11; King County; Washington,1091,759,332,143155,14,12,0,165,332,1976,0,0,2550,1526,53,033,001100
Census Tract 12.01; King County; Washington,2291,450,1841,49098,204,84,73,670,1841,3224,12,0,4053,2476,53,033,001201
